,Point candidates in reduced space,Point candidates in original space,Total penalty,Penalized,EI value
93,[-3.5953711],"[-5.840928539575, -2.706427824977]",-349.692535,penalty,-0.437567
94,[-3.5599271],"[-5.810000475920, -2.723740490700]",-344.868462,penalty,-0.437567
95,[-3.5244832],"[-5.779072412265, -2.741053156422]",-340.044389,penalty,-0.437567
96,[-3.4890392],"[-5.748144348610, -2.758365822145]",-335.220317,penalty,-0.437567
97,[-3.4535953],"[-5.717216284955, -2.775678487867]",-330.396244,penalty,-0.437567
98,[-3.4181513],"[-5.686288221300, -2.792991153590]",-325.572171,penalty,-0.437567
99,[-3.3827074],"[-5.655360157645, -2.810303819313]",-320.748098,penalty,-0.437567
100,[-3.3472634],"[-5.624432093990, -2.827616485035]",-315.924025,penalty,-0.437567
101,[-3.3118195],"[-5.593504030335, -2.844929150758]",-311.099952,penalty,-0.437567
102,[-3.2763755],"[-5.562575966680, -2.862241816480]",-306.275879,penalty,-0.437567
103,[-3.2409316],"[-5.531647903025, -2.879554482203]",-301.451806,penalty,-0.437567
104,[-3.2054876],"[-5.500719839370, -2.896867147926]",-296.627733,penalty,-0.437567
105,[-3.1700437],"[-5.469791775715, -2.914179813648]",-291.803660,penalty,-0.437567
